	337                      	7                        	0.0289                   	2,5,7,11,13,14,19        
	338                      	1                        	0.0205                   	8                        
	342                      	2                        	0.0096                   	4,15                     
	352                      	5                        	0.0266                   	1,2,8,13,14              
	356                      	6                        	0.0478                   	8,10,13,14,17,20         
	357                      	5                        	0.0357                   	1,4,12,19,20             
	360                      	2                        	0.0211                   	8,9                      
	361                      	8                        	0.0385                   	3,6,8,9,11,14,16,18      
	375                      	1                        	0.0136                   	5                        
	381                      	1                        	0.02                     	3                        
	395                      	5                        	0.0125                   	2,5,8,10,13              
	408                      	2                        	0.089                    	7,12                     
	420                      	2                        	0.0309                   	14,15                    
	421                      	1                        	0.0506                   	4                        
	422                      	1                        	0.0091                   	5                        
	429                      	1                        	0.0348                   	11                       
	431                      	2                        	0.0657                   	14,15                    
	434                      	1                        	0.0121                   	16                       
	435                      	4                        	0.0049                   	3,7,9,16                 
	438                      	2                        	0.0086                   	13,17                    
	439                      	10                       	0.0324                   	2,4,8,9,10,11,14,15,18,20
	440                      	4                        	0.0172                   	7,8,14,18                
	446                      	1                        	0.0056                   	7                        
	464                      	5                        	0.0291                   	3,5,7,10,19              
	469                      	1                        	0.0432                   	15                       
	475                      	3                        	0.0207                   	6,12,18                  
	476                      	4                        	0.0405                   	3,8,15,17                
	490                      	1                        	0.0069                   	9                        
	500                      	1                        	0.0083                   	5                        
	502                      	1                        	0.1299                   	9                        
	506                      	1                        	0.0318                   	20                       
	513                      	1                        	0.0218                   	2                        
	522                      	2                        	0.0786                   	16,18                    
	523                      	1                        	0.002                    	1                        
	524                      	2                        	0.0693                   	5,8                      
	525                      	1                        	0.0418                   	7                        
	528                      	3                        	0.0254                   	1,5,18                   
	534                      	1                        	0.0402                   	10                       
	543                      	4                        	0.024                    	1,7,10,18                
	549                      	1                        	0.0177                   	1                        
	574                      	2                        	0.0103                   	2,12                     
	592                      	4                        	0.0182                   	5,17,18,20               
	606                      	6                        	0.0208                   	2,4,7,12,14,20           
	613                      	6                        	0.0297                   	6,8,9,14,17,19           
	614                      	3                        	0.0158                   	3,8,13                   
	615                      	3                        	0.0301                   	2,7,14                   
	616                      	4                        	0.0229                   	1,3,5,19                 
	617                      	1                        	0.0356                   	20                       
	618                      	2                        	0.0205                   	9,17                     
	619                      	2                        	0.0293                   	4,6                      
	645                      	1                        	0.0158                   	9                        
	650                      	2                        	0.0257                   	6,17                     
	704                      	2                        	0.056                    	16,19                    
	710                      	2                        	0.0475                   	9,10                     
	713                      	1                        	0.0059                   	1                        
	714                      	4                        	0.021                    	3,11,15,18               
	716                      	2                        	0.0179                   	9,10                     
	740                      	1                        	0.0397                   	10                       
	742                      	1                        	0.0185                   	10                       
	744                      	1                        	0.0024                   	11                       
	747                      	2                        	0.0356                   	15,17                    
	748                      	1                        	0.0094                   	15                       
	749                      	7                        	0.0415                   	3,5,6,8,12,13,20         
	750                      	1                        	0.0094                   	12                       
	755                      	2                        	0.0032                   	15,18                    
	775                      	1                        	0.0124                   	3                        
	796                      	1                        	0.0806                   	5                        
	819                      	3                        	0.0555                   	5,7,11                   
	824                      	3                        	0.0216                   	1,2,9                    
