1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          
	426                      	18                       	0.0479                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19
	439                      	3                        	0.0067                   	7,8,19                   
	447                      	1                        	0.0057                   	7                        
	458                      	20                       	0.0698                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	473                      	20                       	0.083                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	475                      	20                       	0.0294                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	477                      	20                       	0.1063                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	480                      	3                        	0.0206                   	4,7,16                   
	489                      	20                       	0.0567                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	492                      	1                        	0.0093                   	11                       
	503                      	18                       	0.0699                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
	509                      	17                       	0.0159                   	2,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	511                      	18                       	0.0542                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
	515                      	14                       	0.0447                   	1,2,3,4,5,6,7,8,10,12,13,17,18,20
	518                      	5                        	0.0258                   	2,11,15,19,20            
	525                      	14                       	0.0554                   	1,3,4,5,6,7,9,10,12,13,14,16,17,18
	526                      	4                        	0.0222                   	11,15,19,20              
	527                      	14                       	0.0195                   	1,3,4,5,6,8,9,10,12,13,14,16,17,18
	536                      	17                       	0.0712                   	1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20
	539                      	7                        	0.013                    	1,3,4,9,12,13,14         
	544                      	18                       	0.0368                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20
	546                      	1                        	0.1535                   	4                        
	555                      	1                        	0.0104                   	15                       
	559                      	2                        	0.0576                   	2,19                     
	565                      	15                       	0.0234                   	1,3,4,5,6,7,8,9,10,12,13,14,16,17,18
	569                      	13                       	0.0306                   	1,3,5,6,7,8,10,12,13,14,16,17,18
	576                      	7                        	0.0408                   	5,9,11,12,13,15,20       
	586                      	20                       	0.0431                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	587                      	7                        	0.0873                   	5,9,11,12,13,15,20       
	595                      	12                       	0.0177                   	1,2,3,4,6,7,8,10,14,16,17,18
	606                      	7                        	0.1614                   	5,9,11,12,13,15,20       
	614                      	20                       	0.0275                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	620                      	20                       	0.0484                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	626                      	20                       	0.0524                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	628                      	19                       	0.0426                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
	629                      	20                       	0.0792                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	637                      	20                       	0.0225                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	638                      	20                       	0.0509                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	644                      	20                       	0.0808                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	652                      	4                        	0.007                    	10,12,16,20              
	662                      	18                       	0.0512                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
	674                      	2                        	0.0043                   	7,8                      
	687                      	13                       	0.0728                   	1,3,4,5,6,8,9,10,12,13,14,17,18
	688                      	2                        	0.0107                   	9,13                     
	694                      	19                       	0.0627                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
	701                      	6                        	0.0079                   	2,8,11,13,15,19          
	724                      	4                        	0.0081                   	2,3,6,20                 
	727                      	20                       	0.0333                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	748                      	1                        	0.0276                   	7                        
	749                      	6                        	0.0144                   	9,12,13,15,19,20         
	751                      	1                        	0.014                    	9                        
	753                      	11                       	0.0165                   	2,8,9,11,12,13,15,17,18,19,20
	754                      	5                        	0.0135                   	4,9,12,13,20             
	757                      	3                        	0.0057                   	3,6,9                    
	763                      	12                       	0.0126                   	1,3,5,7,9,11,12,15,16,17,19,20
	777                      	10                       	0.0172                   	4,5,8,12,13,14,15,16,17,18
	778                      	20                       	0.0609                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	779                      	11                       	0.0233                   	3,4,6,7,9,10,12,13,16,19,20
	780                      	1                        	0.0235                   	19                       
	784                      	18                       	0.0646                   	1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,20
	786                      	12                       	0.0242                   	1,2,3,6,7,9,10,12,13,14,15,20
	791                      	8                        	0.0539                   	1,2,4,12,13,14,15,18     
	798                      	1                        	0.2355                   	19                       
	802                      	13                       	0.0384                   	1,2,3,4,6,7,9,10,12,13,14,18,20
	804                      	5                        	0.0244                   	5,8,11,16,17             
	808                      	3                        	0.0111                   	12,15,20                 
	809                      	5                        	0.0073                   	8,12,13,14,16            
	810                      	18                       	0.0708                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20
	819                      	3                        	0.036                    	4,15,19                  
	823                      	3                        	0.0217                   	13,14,16                 
	828                      	10                       	0.0141                   	4,5,8,10,13,14,16,18,19,20
	833                      	10                       	0.0165                   	1,2,7,9,10,13,14,15,16,19
	834                      	14                       	0.022                    	1,2,4,5,6,8,12,14,15,16,17,18,19,20
	835                      	7                        	0.1695                   	4,5,8,12,13,14,18        
	843                      	20                       	0.0948                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	844                      	20                       	0.0785                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	857                      	20                       	0.0593                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	858                      	17                       	0.0359                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,20
	865                      	12                       	0.0395                   	1,2,3,6,7,9,10,11,15,17,19,20
	881                      	3                        	0.0184                   	1,6,11                   
	886                      	20                       	0.0606                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	896                      	9                        	0.0242                   	1,5,6,8,11,15,16,17,19   
	910                      	14                       	0.0353                   	1,2,3,4,6,7,9,10,11,12,14,18,19,20
	911                      	1                        	0.076                    	19                       
	912                      	9                        	0.0418                   	2,3,4,7,9,10,12,18,20    
	915                      	1                        	0.0873                   	14                       
	917                      	1                        	0.0823                   	15                       
	918                      	14                       	0.0746                   	1,2,3,4,5,6,7,8,9,10,12,13,18,20
	919                      	15                       	0.0579                   	1,2,3,4,5,6,7,8,9,10,11,12,13,18,20
	926                      	12                       	0.0458                   	2,3,4,6,7,9,10,12,13,18,19,20
	935                      	9                        	0.0327                   	4,6,9,10,11,15,16,17,18  
	942                      	4                        	0.0885                   	1,11,14,15               
	946                      	12                       	0.0722                   	1,2,3,5,7,10,12,13,14,16,18,19
	949                      	20                       	0.0627                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	951                      	13                       	0.0715                   	1,2,3,4,7,9,10,12,13,17,18,19,20
	953                      	6                        	0.0341                   	3,5,7,11,13,17           
	963                      	9                        	0.051                    	4,5,8,9,11,13,15,17,20   
	964                      	2                        	0.0041                   	3,10                     
	969                      	1                        	0.0034                   	10                       
	971                      	19                       	0.0847                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
	973                      	18                       	0.0667                   	1,2,3,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	981                      	1                        	0.0286                   	18                       
	985                      	12                       	0.0446                   	2,3,5,6,8,9,10,13,14,16,17,20
	986                      	4                        	0.0137                   	6,14,18,19               
	988                      	16                       	0.0946                   	1,2,3,5,6,7,8,11,12,13,14,15,17,18,19,20
	991                      	4                        	0.0874                   	6,8,11,15                
	992                      	3                        	0.0255                   	4,7,20                   
	996                      	1                        	0.0061                   	8                        
	999                      	4                        	0.0676                   	7,8,12,19                
	1001                     	1                        	0.0184                   	7                        
	1003                     	3                        	0.0649                   	12,17,19                 
	1005                     	2                        	0.1295                   	7,8                      
	1008                     	15                       	0.148                    	1,2,3,4,5,6,9,10,11,13,14,15,16,18,20
	1009                     	16                       	0.1426                   	1,2,3,4,5,6,9,10,11,13,14,15,16,17,18,20
	1011                     	3                        	0.2736                   	4,17,18                  
	1037                     	4                        	0.1443                   	6,9,10,16                
	1038                     	5                        	0.013                    	1,11,14,15,18            
	1055                     	14                       	0.0435                   	1,2,3,5,7,8,11,12,13,14,15,18,19,20
	1056                     	1                        	0.0091                   	8                        
	1057                     	4                        	0.0275                   	4,8,13,17                
	1060                     	9                        	0.0586                   	4,5,7,8,12,13,16,17,19   
	1062                     	10                       	0.0333                   	1,2,3,6,9,10,11,14,18,20 
	1063                     	11                       	0.0159                   	1,2,5,8,9,11,14,15,16,18,20
	1068                     	3                        	0.0327                   	10,14,18                 
	1077                     	1                        	0.0161                   	14                       
	1079                     	2                        	0.0294                   	4,17                     
	1082                     	14                       	0.0639                   	1,3,5,7,8,9,10,11,12,13,15,16,17,20
	1086                     	6                        	0.0616                   	2,4,6,14,18,19           
	1089                     	1                        	0.0191                   	12                       
	1090                     	1                        	0.0149                   	2                        
	1091                     	3                        	0.101                    	4,18,19                  
	1094                     	1                        	0.011                    	12                       
	1097                     	1                        	0.0137                   	12                       
	1100                     	6                        	0.0644                   	2,4,6,14,18,19           
	1101                     	1                        	0.003                    	17                       
	1113                     	3                        	0.0225                   	7,8,12                   
	1114                     	4                        	0.0504                   	4,7,8,12                 
	1115                     	20                       	0.0629                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1117                     	11                       	0.0502                   	1,2,6,12,13,14,16,17,18,19,20
	1118                     	3                        	0.0362                   	12,17,19                 
	1119                     	5                        	0.0946                   	4,12,17,18,19            
	1121                     	1                        	0.015                    	17                       
	1122                     	15                       	0.0767                   	1,2,3,5,6,7,8,9,10,11,13,14,15,16,20
	1128                     	3                        	0.0364                   	7,12,19                  
	1145                     	11                       	0.107                    	1,3,4,5,6,9,10,11,14,15,16
	1146                     	3                        	0.047                    	2,13,20                  
	1151                     	5                        	0.0961                   	4,12,17,18,19            
	1155                     	1                        	0.0146                   	18                       
	1156                     	4                        	0.0108                   	1,11,13,18               
	1171                     	2                        	0.0004                   	6,9                      
	1178                     	2                        	0.0079                   	7,12                     
	1179                     	15                       	0.0204                   	1,2,3,4,5,7,8,11,12,13,14,15,17,19,20
	1182                     	18                       	0.0718                   	1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,18,19,20
	1183                     	12                       	0.0401                   	2,3,4,7,8,9,12,13,17,18,19,20
	1185                     	16                       	0.0477                   	1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,20
	1192                     	3                        	0.0093                   	6,9,10                   
	1194                     	4                        	0.1059                   	6,9,10,16                
	1195                     	4                        	0.1798                   	6,9,10,16                
	1196                     	4                        	0.1452                   	6,9,10,16                
	1201                     	20                       	0.0682                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1202                     	4                        	0.0734                   	6,9,10,16                
	1204                     	5                        	0.029                    	6,9,10,13,16             
	1205                     	3                        	0.0203                   	6,10,16                  
	1210                     	16                       	0.0667                   	1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,20
	1214                     	4                        	0.0906                   	6,9,10,16                
	1222                     	16                       	0.1711                   	1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,20
	1226                     	9                        	0.0172                   	4,5,7,11,12,13,15,17,19  
	1231                     	20                       	0.0716                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1234                     	1                        	0.0091                   	10                       
	1235                     	3                        	0.0232                   	9,10,16                  
	1239                     	13                       	0.0348                   	2,3,4,6,7,8,10,12,16,17,18,19,20
	1242                     	3                        	0.0162                   	7,11,13                  
	1244                     	2                        	0.0058                   	7,13                     
	1245                     	3                        	0.0103                   	6,10,16                  
	1246                     	20                       	0.0502                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1251                     	1                        	0.0221                   	10                       
	1272                     	16                       	0.0379                   	1,2,3,4,5,7,8,11,12,13,14,15,17,18,19,20
	1273                     	3                        	0.0055                   	2,13,20                  
	1292                     	14                       	0.0225                   	1,2,4,5,6,7,12,13,15,16,17,18,19,20
	1296                     	14                       	0.0295                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16
	1297                     	14                       	0.0362                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16
	1298                     	14                       	0.0452                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16
	1300                     	14                       	0.0437                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16
	1303                     	6                        	0.0256                   	2,13,17,18,19,20         
	1304                     	6                        	0.113                    	2,13,17,18,19,20         
	1305                     	6                        	0.2031                   	2,13,17,18,19,20         
	1306                     	13                       	0.0236                   	1,4,5,6,7,8,9,10,11,12,14,15,16
	1311                     	14                       	0.0999                   	1,3,4,5,6,7,8,9,10,11,12,14,15,16
	1317                     	6                        	0.0761                   	2,13,17,18,19,20         
	1318                     	6                        	0.1236                   	2,13,17,18,19,20         
	1323                     	6                        	0.055                    	3,8,9,11,14,18           
	1325                     	6                        	0.0384                   	2,13,17,18,19,20         
	1326                     	20                       	0.0481                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1329                     	6                        	0.0256                   	2,13,17,18,19,20         
	1339                     	20                       	0.0641                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1355                     	19                       	0.017                    	1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20
	1356                     	7                        	0.0218                   	3,4,8,9,10,14,16         
	1357                     	20                       	0.0189                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1360                     	2                        	0.0025                   	19,20                    
	1366                     	4                        	0.0056                   	14,17,18,19              
	1374                     	20                       	0.0258                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1376                     	18                       	0.0077                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20
	1386                     	19                       	0.0213                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	1388                     	20                       	0.0675                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1407                     	20                       	0.039                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1439                     	18                       	0.0232                   	1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20
	1441                     	5                        	0.0169                   	10,13,14,18,19           
	1453                     	11                       	0.0294                   	1,2,4,10,12,13,15,16,17,19,20
	1454                     	17                       	0.0222                   	1,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19
	1456                     	11                       	0.0236                   	3,7,8,9,11,12,13,14,16,18,19
	1461                     	10                       	0.0187                   	1,2,4,5,6,7,12,15,17,20  
	1465                     	20                       	0.0419                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1473                     	1                        	0.0011                   	14                       
	1489                     	4                        	0.1169                   	10,13,16,19              
	1491                     	4                        	0.007                    	1,6,7,15                 
	1492                     	10                       	0.061                    	1,2,4,5,6,7,12,15,17,20  
	1493                     	6                        	0.0368                   	3,8,9,11,14,18           
	1494                     	4                        	0.009                    	3,8,9,18                 
	1517                     	20                       	0.0685                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1519                     	1                        	0.0014                   	2                        
	1527                     	20                       	0.0242                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1529                     	20                       	0.0496                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1530                     	20                       	0.0698                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1536                     	16                       	0.0682                   	1,2,3,4,5,6,7,8,10,12,13,14,16,18,19,20
	1546                     	3                        	0.0112                   	6,15,19                  
	1548                     	17                       	0.0284                   	1,2,3,4,5,6,7,8,10,11,12,13,14,16,18,19,20
	1550                     	1                        	0.0097                   	9                        
	1551                     	20                       	0.0547                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1554                     	5                        	0.0087                   	2,12,13,16,20            
	1582                     	1                        	0.0207                   	9                        
	1589                     	19                       	0.0327                   	1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20
	1600                     	20                       	0.0692                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1601                     	19                       	0.0294                   	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	1604                     	1                        	0.0089                   	10                       
	1605                     	20                       	0.0317                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1612                     	20                       	0.088                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1638                     	1                        	0.0333                   	14                       
	1639                     	10                       	0.0674                   	1,2,4,8,11,12,13,16,18,20
	1645                     	1                        	0.0672                   	14                       
	1652                     	11                       	0.095                    	1,2,4,8,11,12,13,14,16,18,20
	1667                     	18                       	0.0318                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19
	1676                     	1                        	0.01                     	18                       
	1680                     	17                       	0.0224                   	1,2,3,4,5,6,8,10,11,12,13,14,15,16,18,19,20
	1688                     	16                       	0.0209                   	1,2,3,4,7,8,9,10,11,12,14,15,16,17,18,20
	1692                     	20                       	0.049                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1698                     	14                       	0.0664                   	2,3,4,5,6,7,10,11,12,13,15,17,18,19
	1700                     	12                       	0.0196                   	1,3,5,8,9,10,11,13,14,16,19,20
	1708                     	9                        	0.1116                   	1,2,4,6,7,12,14,15,17    
	1717                     	6                        	0.0557                   	1,8,9,14,16,20           
	1720                     	13                       	0.0295                   	1,4,5,7,8,9,10,11,13,14,15,18,19
	1734                     	10                       	0.0237                   	1,2,4,6,7,8,14,15,17,20  
	1736                     	16                       	0.0872                   	1,2,3,5,6,8,9,10,11,12,13,15,16,17,18,19
	1742                     	10                       	0.0334                   	1,2,6,8,12,15,16,17,18,20
	1744                     	18                       	0.0705                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19
	1749                     	2                        	0.0035                   	5,13                     
	1750                     	4                        	0.0759                   	4,14,16,20               
	1757                     	6                        	0.0417                   	1,2,4,7,14,20            
	1761                     	15                       	0.0376                   	1,2,6,8,9,10,11,12,14,15,16,17,18,19,20
	1767                     	7                        	0.0211                   	6,11,13,14,15,18,19      
	1775                     	6                        	0.0203                   	9,10,11,13,18,19         
	1788                     	9                        	0.0601                   	1,4,5,6,14,15,16,18,19   
	1792                     	2                        	0.0527                   	16,20                    
	1794                     	2                        	0.0246                   	13,14                    
	1795                     	18                       	0.1406                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19
	1797                     	1                        	0.0033                   	16                       
	1799                     	2                        	0.1315                   	16,20                    
	1805                     	1                        	0.0223                   	20                       
	1809                     	5                        	0.0485                   	1,9,15,16,20             
	1819                     	20                       	0.0302                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1826                     	11                       	0.0133                   	1,6,9,10,11,12,13,14,15,17,19
	1832                     	12                       	0.0199                   	3,7,8,9,10,11,12,13,14,17,18,19
	1838                     	8                        	0.0061                   	2,6,10,11,15,18,19,20    
	1844                     	18                       	0.0503                   	1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,18,19,20
	1853                     	12                       	0.0085                   	3,6,8,9,10,11,12,13,14,15,16,19
	1865                     	20                       	0.0411                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1884                     	20                       	0.0594                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1896                     	1                        	0.0153                   	12                       
	1905                     	12                       	0.0411                   	1,2,3,6,7,8,9,10,11,12,15,19
	1907                     	4                        	0.1284                   	13,14,17,20              
	1908                     	6                        	0.0784                   	4,5,13,14,17,20          
	1917                     	4                        	0.0263                   	4,5,11,14                
	1918                     	2                        	0.0424                   	5,11                     
	1921                     	19                       	0.0473                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
	1922                     	1                        	0.031                    	7                        
	1932                     	3                        	0.0058                   	11,18,20                 
	1936                     	3                        	0.0191                   	5,11,14                  
	1943                     	7                        	0.0443                   	5,8,9,11,12,14,15        
	1947                     	20                       	0.0614                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1949                     	18                       	0.0199                   	1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,18,19,20
	1951                     	19                       	0.0768                   	1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1955                     	20                       	0.0541                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1966                     	3                        	0.0147                   	9,11,20                  
	1968                     	20                       	0.0371                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1977                     	9                        	0.008                    	3,8,12,13,15,16,17,18,20 
	1979                     	20                       	0.0375                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1996                     	10                       	0.0118                   	5,6,7,9,10,11,14,15,17,19
	2008                     	19                       	0.0254                   	1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
	2029                     	3                        	0.012                    	5,6,15                   
	2037                     	7                        	0.0255                   	3,8,10,12,13,16,19       
	2038                     	17                       	0.0235                   	1,2,3,6,7,8,9,10,11,12,13,14,16,17,18,19,20
	2039                     	20                       	0.0329                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2047                     	3                        	0.0054                   	3,8,12                   
	2056                     	20                       	0.0154                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2064                     	15                       	0.0348                   	2,3,4,5,6,8,11,12,13,15,16,17,18,19,20
	2073                     	20                       	0.0387                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2076                     	20                       	0.0163                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2079                     	10                       	0.0214                   	1,5,6,9,11,13,14,16,17,20
	2085                     	5                        	0.0303                   	5,6,9,11,15              
	2086                     	19                       	0.0258                   	1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2096                     	1                        	0.0017                   	5                        
	2098                     	16                       	0.0454                   	1,2,3,4,7,8,9,10,12,13,14,16,17,18,19,20
	2099                     	1                        	0.0088                   	10                       
	2106                     	15                       	0.0389                   	2,3,4,5,6,8,11,12,13,15,16,17,18,19,20
	2108                     	12                       	0.0308                   	2,3,4,7,8,10,12,13,16,17,18,19
	2109                     	3                        	0.0207                   	12,13,20                 
	2113                     	5                        	0.1455                   	1,7,9,10,14              
	2114                     	15                       	0.1428                   	2,3,4,5,6,8,11,12,13,15,16,17,18,19,20
	2120                     	9                        	0.0462                   	1,5,6,7,9,10,11,14,15    
	2122                     	10                       	0.0184                   	2,3,5,6,8,11,15,17,18,19 
	2128                     	15                       	0.1293                   	2,3,4,5,6,8,11,12,13,15,16,17,18,19,20
	2137                     	2                        	0.0147                   	5,16                     
	2138                     	19                       	0.0431                   	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20
	2142                     	20                       	0.0754                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2146                     	11                       	0.0142                   	1,3,4,7,8,9,10,13,14,16,19
	2155                     	20                       	0.0582                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2159                     	1                        	0.0039                   	6                        
	2163                     	4                        	0.0178                   	9,12,13,20               
