	1334                     	3                        	0.0422                   	3,8,12                   
	1359                     	1                        	0.036                    	5                        
	1360                     	1                        	0.0205                   	13                       
	1362                     	2                        	0.0633                   	18,19                    
	1366                     	1                        	0.0763                   	18                       
	1385                     	2                        	0.0912                   	10,11                    
	1398                     	2                        	0.0932                   	9,18                     
	1403                     	15                       	0.0442                   	1,2,3,4,5,6,7,8,9,10,12,14,15,16,17
	1408                     	13                       	0.0464                   	3,4,5,6,7,9,13,14,15,16,17,18,19
	1421                     	1                        	0.0537                   	10                       
	1426                     	3                        	0.0066                   	9,12,13                  
	1490                     	1                        	0.0021                   	8                        
	1495                     	10                       	0.084                    	1,5,6,7,8,10,15,17,18,19 
	1503                     	1                        	0.0288                   	6                        
	1504                     	5                        	0.0726                   	1,4,14,15,16             
	1509                     	1                        	0.0186                   	20                       
	1516                     	1                        	0.0765                   	4                        
	1530                     	2                        	0.025                    	14,18                    
	1541                     	10                       	0.0327                   	1,5,8,9,10,12,13,14,18,19
	1586                     	1                        	0.0973                   	4                        
	1587                     	2                        	0.0694                   	7,11                     
	1588                     	3                        	0.0283                   	3,11,17                  
	1589                     	1                        	0.0036                   	10                       
	1590                     	1                        	0.0408                   	4                        
	1591                     	1                        	0.0657                   	4                        
	1593                     	2                        	0.1648                   	9,15                     
	1594                     	4                        	0.1601                   	4,9,15,16                
	1601                     	2                        	0.1316                   	9,15                     
	1606                     	1                        	0.0283                   	1                        
	1613                     	1                        	0.0312                   	13                       
	1643                     	1                        	0.0187                   	12                       
	1644                     	2                        	0.0195                   	14,15                    
	1655                     	1                        	0.0239                   	8                        
	1657                     	1                        	0.0249                   	19                       
	1661                     	4                        	0.0671                   	9,11,12,16               
	1666                     	1                        	0.0197                   	16                       
	1680                     	2                        	0.0199                   	9,13                     
	1692                     	2                        	0.0512                   	4,11                     
	1696                     	5                        	0.027                    	9,12,13,18,19            
	1703                     	1                        	0.1731                   	15                       
	1706                     	1                        	0.0005                   	5                        
	1728                     	2                        	0.0697                   	4,19                     
	1734                     	2                        	0.1005                   	2,7                      
	1753                     	1                        	0.0285                   	8                        
	1760                     	1                        	0.0054                   	4                        
	1770                     	10                       	0.0701                   	1,4,5,6,10,11,15,17,18,20
	1773                     	1                        	0.0431                   	14                       
	1776                     	2                        	0.0526                   	2,20                     
	1780                     	9                        	0.0766                   	2,3,5,7,9,10,11,14,18    
	1782                     	1                        	0.0221                   	9                        
	1783                     	14                       	0.1622                   	1,2,4,5,8,10,11,12,13,15,16,18,19,20
	1800                     	1                        	0.0                      	2                        
	1818                     	3                        	0.066                    	4,6,18                   
	1819                     	1                        	0.024                    	11                       
	1843                     	1                        	0.0641                   	7                        
