	1294                     	8                        	0.0259                   	1,3,4,5,11,13,18,19      
	1297                     	2                        	0.019                    	8,17                     
	1324                     	4                        	0.0445                   	3,5,11,17                
	1339                     	1                        	0.0173                   	3                        
	1405                     	1                        	0.0102                   	3                        
	1415                     	1                        	0.0183                   	3                        
	1437                     	1                        	0.0112                   	19                       
	1460                     	7                        	0.0301                   	6,7,8,10,13,14,17        
	1486                     	17                       	0.0487                   	1,2,3,4,5,7,8,9,11,12,13,14,15,16,17,18,20
	1495                     	5                        	0.0447                   	1,12,17,18,20            
	1498                     	1                        	0.0298                   	15                       
	1507                     	1                        	0.0361                   	2                        
	1510                     	1                        	0.0151                   	2                        
	1517                     	1                        	0.0737                   	4                        
	1520                     	1                        	0.0713                   	10                       
	1534                     	4                        	0.0414                   	1,11,12,20               
	1561                     	1                        	0.2191                   	16                       
	1584                     	20                       	0.0955                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1595                     	1                        	0.0024                   	16                       
	1596                     	1                        	0.038                    	16                       
	1598                     	10                       	0.0737                   	1,3,4,5,8,9,11,12,16,17  
	1611                     	1                        	0.0136                   	17                       
	1613                     	4                        	0.0222                   	4,8,15,20                
	1627                     	2                        	0.0193                   	5,8                      
	1628                     	15                       	0.056                    	1,2,5,7,8,9,10,11,12,14,16,17,18,19,20
	1644                     	3                        	0.0219                   	9,12,17                  
	1685                     	10                       	0.0429                   	1,3,4,5,8,12,15,17,19,20 
	1699                     	9                        	0.0322                   	2,5,6,10,11,13,16,19,20  
	1715                     	3                        	0.0411                   	1,3,4                    
	1724                     	12                       	0.038                    	2,3,6,7,8,9,11,12,13,14,15,18
	1727                     	6                        	0.0191                   	5,7,8,9,13,17            
	1740                     	9                        	0.0522                   	1,3,4,10,11,13,15,19,20  
	1741                     	2                        	0.0089                   	13,19                    
	1742                     	7                        	0.0558                   	6,9,11,13,16,18,19       
	1766                     	1                        	0.0144                   	8                        
	1769                     	19                       	0.0966                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
	1770                     	2                        	0.0255                   	6,20                     
	1783                     	12                       	0.045                    	3,4,6,7,10,11,12,13,14,15,19,20
	1788                     	3                        	0.0288                   	9,13,18                  
	1791                     	3                        	0.024                    	4,12,16                  
	1815                     	16                       	0.049                    	1,2,3,4,5,7,8,9,11,12,13,14,15,17,19,20
	1817                     	2                        	0.0186                   	1,13                     
	1846                     	2                        	0.0422                   	17,20                    
	1851                     	1                        	0.0211                   	10                       
	1854                     	5                        	0.0223                   	2,3,9,12,18              
	1877                     	2                        	0.0173                   	3,12                     
	1884                     	2                        	0.0391                   	9,13                     
	1903                     	16                       	0.054                    	1,2,3,4,5,6,7,8,9,10,11,12,13,16,18,19
	1912                     	2                        	0.0582                   	7,14                     
	1921                     	3                        	0.0105                   	3,9,20                   
	1923                     	1                        	0.045                    	18                       
	1964                     	4                        	0.0341                   	3,5,9,17                 
	1971                     	1                        	0.0222                   	15                       
	1989                     	11                       	0.0235                   	2,4,5,9,12,13,14,15,16,17,20
	1996                     	8                        	0.032                    	1,2,5,10,11,12,13,18     
	2028                     	15                       	0.114                    	2,3,4,5,6,7,8,9,11,12,15,17,18,19,20
	2031                     	13                       	0.0523                   	1,2,3,4,5,6,10,13,16,17,18,19,20
	2066                     	1                        	0.2146                   	10                       
	2079                     	3                        	0.0437                   	5,12,17                  
	2083                     	1                        	0.0116                   	14                       
	2090                     	10                       	0.0566                   	1,2,3,4,6,8,15,16,18,19  
	2108                     	3                        	0.0296                   	13,17,20                 
	2120                     	1                        	0.0141                   	17                       
	2123                     	19                       	0.0977                   	1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
