	1485                     	14                       	0.0544                   	1,2,4,5,6,9,10,11,13,15,16,17,18,20
	1506                     	1                        	0.0089                   	4                        
	1557                     	1                        	0.0111                   	13                       
	1583                     	2                        	0.0521                   	7,17                     
	1587                     	7                        	0.0501                   	1,2,6,9,17,19,20         
	1708                     	14                       	0.0685                   	2,3,4,7,8,9,10,12,13,14,15,16,17,19
	1716                     	2                        	0.0344                   	2,16                     
	1747                     	16                       	0.0717                   	1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,19
	1819                     	13                       	0.0705                   	1,2,3,6,7,9,13,15,16,17,18,19,20
	1823                     	1                        	0.162                    	6                        
	1863                     	5                        	0.0516                   	1,2,3,17,19              
	1875                     	1                        	0.0161                   	2                        
	1883                     	1                        	0.4003                   	6                        
	1924                     	3                        	0.0218                   	3,4,13                   
	2017                     	7                        	0.1526                   	5,7,12,13,15,17,20       
	2060                     	3                        	0.0457                   	8,12,13                  
	2081                     	2                        	0.1312                   	8,12                     
	2091                     	2                        	0.0607                   	8,10                     
	2104                     	9                        	0.0805                   	2,3,4,5,7,11,14,18,19    
	2166                     	1                        	0.0039                   	2                        
	2190                     	2                        	0.0316                   	5,10                     
	2200                     	1                        	0.0514                   	13                       
	2290                     	17                       	0.0356                   	1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20
	2348                     	4                        	0.0885                   	4,9,13,14                
	2377                     	7                        	0.0333                   	2,4,7,9,10,11,20         
	2382                     	2                        	0.0452                   	3,15                     
	2388                     	5                        	0.0527                   	3,6,13,15,17             
	2429                     	20                       	0.0955                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2457                     	20                       	0.0701                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2465                     	1                        	0.2104                   	20                       
	2468                     	1                        	0.0045                   	15                       
	2475                     	15                       	0.0482                   	1,2,7,8,9,10,11,12,13,14,15,16,17,18,19
	2476                     	8                        	0.0468                   	4,5,6,7,9,14,15,17       
	2484                     	1                        	0.0099                   	16                       
	2485                     	1                        	0.0199                   	4                        
	2488                     	2                        	0.0319                   	6,14                     
	2490                     	2                        	0.0101                   	4,13                     
	2499                     	2                        	0.0071                   	3,9                      
	2502                     	18                       	0.2819                   	1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20
	2505                     	1                        	0.0242                   	13                       
	2506                     	3                        	0.0407                   	4,9,13                   
	2534                     	2                        	0.1012                   	2,3                      
	2535                     	2                        	0.0489                   	2,3                      
	2538                     	12                       	0.0489                   	3,4,5,6,8,10,11,13,15,16,17,19
	2543                     	1                        	0.1267                   	3                        
	2544                     	2                        	0.0178                   	5,16                     
	2577                     	1                        	0.023                    	1                        
	2581                     	5                        	0.0674                   	3,6,9,13,20              
	2585                     	4                        	0.0873                   	2,5,14,20                
	2587                     	1                        	0.0166                   	17                       
	2598                     	6                        	0.033                    	1,3,4,9,11,14            
	2619                     	1                        	0.0024                   	15                       
	2628                     	10                       	0.0518                   	1,2,3,4,5,9,12,13,17,19  
	2629                     	1                        	0.0722                   	17                       
	2631                     	1                        	0.0185                   	20                       
	2641                     	4                        	0.0214                   	5,11,13,14               
	2647                     	9                        	0.0515                   	1,2,3,8,9,12,15,16,19    
	2649                     	2                        	0.0239                   	3,9                      
	2654                     	2                        	0.0255                   	4,10                     
	2655                     	1                        	0.0102                   	8                        
	2667                     	1                        	0.0614                   	17                       
	2672                     	1                        	0.0703                   	8                        
	2675                     	1                        	0.0288                   	5                        
	2676                     	1                        	0.028                    	5                        
	2677                     	16                       	0.1201                   	1,2,3,4,5,7,9,10,11,13,15,16,17,18,19,20
	2678                     	1                        	0.0207                   	12                       
	2681                     	13                       	0.0459                   	1,2,3,4,5,6,7,8,9,13,15,18,19
	2683                     	7                        	0.0248                   	2,7,10,13,15,16,20       
	2684                     	5                        	0.0221                   	1,4,5,19,20              
	2687                     	7                        	0.0218                   	5,6,10,12,14,16,20       
	2688                     	2                        	0.1145                   	12,14                    
	2689                     	1                        	0.0077                   	13                       
	2718                     	2                        	0.037                    	3,11                     
	2720                     	7                        	0.1688                   	1,5,11,15,17,18,20       
	2731                     	3                        	0.0464                   	4,7,20                   
	2743                     	15                       	0.0579                   	1,2,4,5,6,7,8,11,12,13,14,16,17,18,19
	2745                     	1                        	0.0124                   	10                       
	2766                     	4                        	0.0823                   	2,4,7,16                 
	2769                     	1                        	0.0099                   	20                       
	2780                     	2                        	0.0224                   	2,20                     
	2789                     	2                        	0.0408                   	4,6                      
	2811                     	2                        	0.053                    	3,13                     
	2826                     	5                        	0.0537                   	3,8,14,17,18             
	2827                     	12                       	0.0555                   	1,2,4,7,8,10,11,12,14,15,17,19
	2829                     	1                        	0.0282                   	17                       
	2831                     	1                        	0.0464                   	17                       
	2833                     	13                       	0.0637                   	1,2,3,5,6,8,9,10,14,15,18,19,20
	2835                     	1                        	0.0145                   	20                       
	2836                     	1                        	0.1314                   	18                       
	2838                     	2                        	0.0297                   	4,9                      
	2857                     	1                        	0.0233                   	18                       
	2858                     	4                        	0.0224                   	5,15,17,19               
	2873                     	2                        	0.0326                   	10,15                    
	2889                     	1                        	0.0639                   	4                        
	2920                     	2                        	0.0552                   	1,15                     
	2924                     	1                        	0.0159                   	2                        
	2932                     	18                       	0.1177                   	1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2939                     	1                        	0.1698                   	2                        
	2940                     	17                       	0.0971                   	1,2,3,4,5,7,8,9,10,11,13,15,16,17,18,19,20
	2941                     	1                        	0.0476                   	2                        
	2945                     	9                        	0.0524                   	1,2,3,4,7,10,13,17,18    
	2978                     	4                        	0.0527                   	4,5,13,14                
	2982                     	1                        	0.0405                   	7                        
	3008                     	17                       	0.1645                   	1,2,3,5,6,7,8,9,11,12,13,15,16,17,18,19,20
	3010                     	2                        	0.0447                   	4,14                     
	3014                     	3                        	0.0718                   	15,16,17                 
	3026                     	1                        	0.0341                   	15                       
	3037                     	1                        	0.0749                   	14                       
	3050                     	1                        	0.0033                   	9                        
	3082                     	3                        	0.0458                   	13,17,19                 
	3084                     	20                       	0.1089                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3087                     	1                        	0.1086                   	18                       
	3088                     	1                        	0.0277                   	19                       
	3089                     	2                        	0.0221                   	5,12                     
	3091                     	1                        	0.0396                   	19                       
	3103                     	3                        	0.066                    	4,12,17                  
	3115                     	1                        	0.0464                   	15                       
	3124                     	6                        	0.029                    	1,11,13,16,17,19         
	3149                     	1                        	0.0045                   	2                        
	3152                     	2                        	0.0439                   	19,20                    
	3219                     	2                        	0.0138                   	5,7                      
	3231                     	3                        	0.047                    	2,6,18                   
	3245                     	5                        	0.0646                   	2,7,13,15,17             
	3258                     	4                        	0.0402                   	7,13,15,17               
	3261                     	1                        	0.0098                   	7                        
	3262                     	3                        	0.082                    	7,15,20                  
	3263                     	6                        	0.0543                   	1,2,3,6,8,16             
	3277                     	3                        	0.0152                   	10,14,19                 
	3285                     	2                        	0.039                    	5,7                      
	3290                     	13                       	0.0525                   	1,2,3,4,5,7,8,10,13,14,16,19,20
	3311                     	7                        	0.042                    	8,9,11,15,16,17,20       
	3356                     	2                        	0.0135                   	6,13                     
	3373                     	6                        	0.036                    	1,7,8,9,11,12            
	3396                     	12                       	0.0453                   	1,2,3,4,6,7,11,13,14,15,16,18
	3398                     	2                        	0.0823                   	1,6                      
	3401                     	1                        	0.0402                   	1                        
